Section,IssueID,Title,Severity,AffectedFiles,Description,Dependencies
1,1.1,Response Format Inconsistency,MEDIUM,"app/api/auth/*, app/api/user/*, app/api/quiz/*","No standardized response structure across API endpoints. Patterns range from good (Pattern A) to broken (Pattern C with 'as any'). Clients must handle multiple formats.","1.2,1.4"
1,1.2,Hard-coded Bearer Token in /api/user/profile,CRITICAL,"app/api/user/profile/route.ts:7,54","Production code contains hard-coded test Bearer token 'Bearer expired-token'. Returns mock test data unrelated to caller. Not using middleware auth.","1.1,1.4,1.5"
1,1.3,Authentication Fragmentation (NextAuth + Firebase + Bearer),HIGH,"app/api/auth/register, app/api/auth/login, app/api/user/profile, app/api/user/stats","Three different auth systems active simultaneously. Different property names (.uid vs .id) cause type mismatch bugs. No consolidated auth strategy.","1.2,2.3"
1,1.4,Input Validation Inconsistency,HIGH,"app/api/auth/*, app/api/user/profile, app/api/daily-quiz, app/api/quizzes","Some routes use Zod + sanitization (good). Others use manual checks or no validation. Some expose validation errors. No centralized validation middleware.","1.1,1.2"
1,1.5,Error Handling Patterns Inconsistent,HIGH,"app/api/auth/register, app/api/auth/session, app/api/daily-quiz","Multiple error response formats. Some routes expose internal details (security risk). No correlation IDs for debugging. Inconsistent HTTP status codes.","1.1,1.3"
1,1.6,Rate Limiting Missing on User/Public Endpoints,HIGH,"app/api/user/profile, app/api/user/stats, app/api/daily-quiz, app/api/daily-quiz/status, app/api/quiz/submit, app/api/quizzes","Only auth endpoints (/api/auth/register, /api/auth/login) have rate limiting. Public/user endpoints unprotected from DoS and scraping attacks.","None"
1,1.7,Request Tracing & Observability Gaps,MEDIUM,"All API routes except /api/auth/*","Only auth endpoints generate request IDs. Other routes lack tracing capability. Hard to trace requests through logs for debugging.","1.4,1.5"
1,1.8,API Documentation Gaps,MEDIUM,"app/api/daily-quiz, app/api/quiz/submit, app/api/quizzes","Some routes well-documented with JSDoc. Others poorly documented or missing parameter documentation. No OpenAPI/Swagger definitions.","None"
1,1.9,Type Safety Issues,HIGH,"app/api/user/profile, app/api/quiz/submit","Unsafe casting with 'as any' loses type safety. Untyped result handling. Other routes properly typed.","1.1,1.2"
1,1.10,No Standard Response Format,CRITICAL,"All API routes","Clients must handle Pattern A (good), Pattern B (problematic), Pattern C (broken with 'as any'), and Pattern D (raw data). Makes error handling fragile and API unpredictable.","1.1,1.2,1.4,1.5"
2,2.1,Provider Nesting Complexity,HIGH,"app/layout.tsx:317-330","5 nested providers (SessionProvider > ReactQueryProvider > ResponsiveUIProvider > FirebaseProvider > PerformanceProvider). Potential hydration mismatches. Dual auth systems cause type mismatch bugs. FirebaseProvider doesn't provide context.","2.3,2.9"
2,2.2,React Query Usage Inconsistency,MEDIUM,"app/hooks/query/useOptimizedQuery.ts, app/hooks/useDailyQuiz.ts, app/hooks/useLeaderboard.ts, app/hooks/useFriends.ts","Three different query hook implementations with inconsistent config: staleTime varies (5min to 1hr), gcTime varies (30min to 24hrs), retry varies (2-3). Same data could cache for vastly different durations.","None"
2,2.3,Authentication State Fragmentation,CRITICAL,"app/hooks/useAuth.ts, SessionProvider, app/api/*, /api/user/profile","Three sources of truth for user identity: Firebase useAuth() (.uid), NextAuth session (.id), hard-coded Bearer token. Type mismatch bugs. Hard-coded test values in production.","1.2,1.3"
2,2.4,Firebase Real-time Listener Synchronization Issues,HIGH,"app/hooks/useFriends.ts, app/lib/services/friendService.ts","Multiple subscriptions: React Query cache + local state + real-time listener. Three sources of truth for friend data. Race conditions possible (friend data out of sync with presence).","None"
2,2.5,Cache Invalidation Chaos,HIGH,"app/hooks/useFriends.ts, useFriendCache, app/hooks/useDailyQuiz.ts","Three different cache invalidation patterns. No centralized rules. Components can forget to invalidate after mutations. useFriendCache exists but not used consistently.","2.2"
2,2.6,localStorage as Cache Layer (Anti-Pattern),HIGH,"app/hooks/useDailyQuiz.ts:591-604","Bypasses React Query logic with localStorage. Can fail silently in private browsing. Synchronization issues between tabs. No cleanup (localStorage keeps growing). Race conditions.","2.2,2.5"
2,2.7,Mock Data Baked into Production,HIGH,"app/hooks/useOptimizedQuery.ts, app/hooks/useDailyQuiz.ts, app/hooks/useDailyQuizStatus.ts","Mock data enabled automatically with shouldUseMockData(). Can't be disabled without code changes. Silent fallback masks actual API failures. Testing against mock, not real API.","None"
2,2.8,Prop Drilling Despite State Management,MEDIUM,"QuizContainer, QuestionCard, AnswerButton components","Hooks exist but props drilled 3+ levels anyway (user, uiScale). Causes unnecessary re-renders.","None"
2,2.9,Excessive Hydration Mismatch Prevention,MEDIUM,"ResponsiveUIProvider.tsx, PerformanceProvider.tsx, NavigationMetricsTracker.tsx","Three separate isClient state variables doing the same thing. Causes 3 unnecessary re-renders before hydration completes.","2.1"
2,2.10,Performance Monitoring Overhead,MEDIUM,"app/hooks/useOptimizedMutation.ts, usePerformanceMonitor.ts","Large wrapper functions with disabled defaults. Adds overhead even when trackPerformance=false. Bundle bloat. No control over when hooks run.","4.x"
2,2.11,State Management Decision Tree Unclear,MEDIUM,"All state management code","Too many options: useAuth() vs await auth() vs Bearer token, useOptimizedQuery vs useQuery vs useDailyQuiz vs useLeaderboard, useResponsiveUI vs useState vs local state. Developers must understand 4+ systems.","1.2,1.3,2.1,2.2,2.3"
3,3.1,N+1 Query in FriendService.getFriends(),CRITICAL,"app/lib/services/friendService.ts:196-251","Gets friendships (1 query) then loops making individual getDoc for each friend (100 queries) + mutual friends count (100 queries) + online status (100 queries). With 100 friends: 301 queries instead of ~3.","3.2,3.3"
3,3.2,Friend Activity 'in' Operator Limit,CRITICAL,"app/lib/services/friendService.ts:413-437","Firestore 'in' operator limited to 10 items. With >10 friends, query silently fails for rest. Silent data loss - no error thrown. Users with >10 friends miss activity from friends 11+.","3.1"
3,3.3,N+1 in User Search,CRITICAL,"app/lib/services/friendService.ts:257-306","Search query (1) + current user friends (1) + pending requests (1) + mutual friends for each result (20 queries). For 20-user search: 23+ queries minimum.","3.1"
